pleasant, 기분 좋은, plez-uhnt
glare, 환하게 빛나다/노려보다, [ɡlɛər]
glimpse, 흘끗 봄, [ɡlɪmps]
grasp, 꽉 잡다/이해하다, [ɡræsp]
gross, 총수익/역겨운, [ɡroʊs]
guardian, 후견인/수호자, [ˈɡɑːrdiən]
gulf, 만/차이, [ɡʌlf]
habitat, 서식지, [ˈhæbɪˌtæt]
halt, 정지하다, [hɔːlt]
haunt, 자주 나타나다/자주 다니다, [hɔːnt]
headquarters, 본부, [ˈhɛdkwɔːrtərz]
heir, 상속인, [ɛr]
hence, 그러므로, [hɛns]
heritage, 유산, [ˈhɛrɪtɪdʒ]
hook, 갈고리, [hʊk]
horn, 뿔/경적, [hɔːrn]
hostage, 인질, [ˈhɒstɪdʒ]
hostile, 적대적인, [ˈhɒstaɪl]
hypothesis, 가설, [haɪˈpɒθəsɪs]
ideology, 이데올로기, [ˌaɪdiˈɒlədʒi]
illusion, 환상, [ɪˈluːʒən]
immense, 거대한, [ɪˈmɛns]
immigrate, 이주하다, [ˈɪmɪˌɡreɪt]
implement, 시행하다/도구, [ˈɪmplɪˌmɛnt]
imply, 암시하다, [ɪmˈplaɪ]
impose, 부과하다, [ɪmˈpoʊz]
incline, 기울이다/경향, [ɪnˈklaɪn]
incorporate, 통합하다, [ɪnˈkɔːrpəreɪt]
index, 색인/지수, [ˈɪndɛks]
induce, 유발하다/설득하다, [ɪnˈdjuːs]
inevitable, 불가피한, [ɪnˈɛvɪtəbəl]
infect, 감염시키다, [ɪnˈfɛkt]
infer, 추론하다, [ɪnˈfɜːr]
inflate, 팽창하다/인플레이션을 일으키다, [ɪnˈfleɪt]
inherent, 내재하는, [ɪnˈhɪrənt]
inhibit, 억제하다, [ɪnˈhɪbɪt]
inquire, 조사하다, [ɪnˈkwaɪər]
integrate, 통합하다, [ˈɪntɪˌɡreɪt]
intervene, 개입하다, [ˌɪntərˈviːn]
intrigue, 음모를 꾸미다, [ɪnˈtriːɡ]
judicial, 사법의, [dʒuˈdɪʃəl]
keen, 예리한/열정적인, [kiːn]
knot, 매듭, [nɒt]
lease, 임대하다, [liːs]
legislate, 입법하다, [ˈlɛdʒɪsˌleɪt]
legitimate, 정당한/합법의, [lɪˈdʒɪtəˌmət]
literal, 문자 그대로의, [ˈlɪtərəl]
lone, 외로운, [loʊn]
lump, 덩어리, [lʌmp]
magnificent, 웅장한/화려한, [mæɡˈnɪfɪsənt]
manifest, 명백한/나타내다, [ˈmænəˌfɛst]
manipulate, 조작하다, [məˈnɪpjʊˌleɪt]
meanwhile, 그동안, [ˈmiːnwaɪl]
medieval, 중세의, [ˌmiːˈdiːvəl]
mere, 단순한, [mɪər]
merge, 합병하다, [mɜːrdʒ]
metropolitan, 대도시의, [ˌmɛt.rəˈpɑː.lɪ.tən]
migrate, 이동하다/이주하다, [ˈmaɪɡreɪt]
mock, 조롱하다/가식적인, [mɒk]
moderate, 적당한/온건한, [ˈmɒdərət]
modest, 겸손한, [ˈmɒdɪst]
modify, 수정하다, [ˈmɒdɪfaɪ]
molecule, 분자, [ˈmɒlɪkjuːl]
monument, 기념물, [ˈmɒnjəmənt]
mortal, 죽을 운명의, [ˈmɔːrtl]
mutual, 상호적인, [ˈmjuːtʃuəl]
naive, 순진한, [naɪˈiːv]
nanny, 유모, [ˈnæni]
nasty, 불쾌한/못된, [ˈnæsti]
nominate, 지명하다, [ˈnɒmɪneɪt]
nonetheless, 그럼에도 불구하고, [ˌnʌnðəˈlɛs]
norm, 규범, [nɔːrm]
notion, 개념, [ˈnoʊʃən]
numerous, 많은, [ˈnuːmərəs]
nun, 수녀, [nʌn]
oblige, 강요하다/의무를 지우다, [əˈblaɪdʒ]
obsess, 강박관념에 사로잡히다, [əbˈsɛs]
orbit, 궤도, [ˈɔːrbɪt]
ounce, 온스(무게 단위), [aʊns]
outrage, 격분, [ˈaʊtreɪdʒ]
overwhelm, 압도하다, [ˌoʊvərˈwɛlm]
panel, 패널/위원회, [ˈpænl]
parallel, 평행한, [ˈpærəˌlɛl]
parliament, 의회, [ˈpɑːrləmənt]
particle, 입자, [ˈpɑːrtɪkl]
pat, 가볍게 치다/쓰다듬다, [pæt]
patch, 조각/보충하다, [pætʃ]
patent, 특허/특허를 내리다, [ˈpætənt]
patrol, 순찰하다, [pəˈtroʊl]
pave, 포장하다, [peɪv]
peasant, 농민, [ˈpɛzənt]
persist, 지속하다, [pərˈsɪst]
perspective, 관점/시각, [pərˈspɛktɪv]
phase, 단계, [feɪz]
pinch, 꼬집다, [pɪntʃ]
pitch, 던지다/음의 높낮이, [pɪtʃ]
polish, 닦다/광택을 내다, [ˈpɑːlɪʃ]
pope, 교황, [poʊp]
portion, 일부, [ˈpɔːrʃən]
preach, 설교하다, [priːtʃ]
precede, 앞서다, [prɪˈsiːd]
predator, 포식자, [ˈprɛdətər]
prejudice, 편견/편견을 갖게 하다, [ˈprɛdʒədɪs]
premier, 최고의/총리, [ˈprɛmiər]
premium, 보험료/추가 비용, [ˈpriːmiəm]
presume, 추정하다/상정하다, [prɪˈzjuːm]
prevail, 압도하다/유행하다, [prɪˈveɪl]
prior, 이전의, [ˈpraɪər]
privilege, 특권, [ˈprɪvəlɪdʒ]
procedure, 절차, [prəˈsiːdʒər]
profile, 프로필, [ˈproʊfaɪl]
profound, 심오한, [prəˈfaʊnd]
prohibit, 금지하다, [proʊˈhɪbɪt]
prominent, 돌출한/두드러진, [ˈprɑːmɪnənt]
prompt, 촉구하다/신속한, [prɒmpt]
proportion, 비율, [prəˈpɔːrʃən]
prosper, 번영하다, [ˈprɒspər]
provoke, 자극하다/화나게 하다, [prəˈvoʊk]
questionnaire, 설문지, [ˌkwɛs.tʃəˈnɛr]
quote, 인용하다, [kwoʊt]
rage, 격노/격렬한 감정, [reɪdʒ]
rally, 집회/회복하다, [ˈræli]
rational, 합리적인, [ˈræʃənl]
rear, 뒷부분/키우다, [rɪr]
rebel, 반역자/반항하다, [ˈrɛbəl]
recruit, 모집하다/신병, [rɪˈkruːt]
refine, 정제하다, [rɪˈfaɪn]
regulate, 규제하다, [ˈrɛɡjuleɪt]
reinforce, 강화하다, [ˌriːɪnˈfɔːrs]
relevant, 관련된/적절한, [ˈrɛləvənt]
reluctant, 꺼리는, [rɪˈlʌktənt]
reputation, 평판, [ˌrɛpjʊˈteɪʃən]
reside, 거주하다, [rɪˈzaɪd]
resign, 사임하다, [rɪˈzaɪn]
respective, 각각의, [rɪˈspɛktɪv]
restrain, 억제하다, [rɪˈstreɪn]
restrict, 제한하다, [rɪˈstrɪkt]
resume, 다시 시작하다, 이력서, [rɪˈzjuːm]
retail, 소매로 팔다/소매, [ˈriːteɪl]
retain, 유지하다/보유하다, [rɪˈteɪn]
retreat, 후퇴하다/퇴각, [rɪˈtriːt]
revenge, 복수, [rɪˈvɛndʒ]
reverse, 반전, 뒤집다, [rɪˈvɜːrs]
rid, 없애다, [rɪd]
ridiculous, 터무니 없는, [rɪˈdɪkjələs]
riot, 폭동/소동, [ˈraɪət]
roar, 울부짖다, [rɔːr]
rod, 막대기, [rɒd]
rot, 썩다, 부패하다, [rɒt]
sack, 자루/해고하다, [sæk]
salon, 샬롱(화장실), [səˈlɒn]
scarce, 부족한/희소한, [skɛəs]
scatter, 흩뿌리다, [ˈskætər]
scope, 범위/영역, [skoʊp]
screw, 나사/나사로 고정하다, [skruː]
scrub, 문질러 닦다, [skrʌb]
sculpture, 조각품/조각하다, [ˈskʌlptʃər]
seize, 잡다, [siːz]
sentiment, 감정, [ˈsɛntɪmənt]
sequence, 연속/일련, [ˈsiːkwəns]
shelter, 피난처/보호소, [ˈʃɛltər]
shield, 방패/보호하다, [ʃild]
shrink, 줄어들다, [ʃrɪŋk]
simulate, 모방하다/시뮬레이션하다, [ˈsɪmjəˌleɪt]
simultaneous, 동시의, [ˌsaɪməlˈteɪniəs]
slaughter, 도살/대량 학살, [ˈslɔːtər]
slight, 미약한/경멸, [slaɪt]
slope, 경사/기울이다, [sloʊp]
sneak, 몰래 움직이다, [snik]
sniff, 코를 킁킁거리다, [snɪf]
sole, 유일한/밑창, [soʊl]
sophisticated, 정교한/세련된, [səˈfɪstɪˌkeɪtɪd]
span, 범위/기간, [spæn]
spectacle, 광경/장관, [ˈspɛktəkl]
spectrum, 스펙트럼/범위, [ˈspɛktrəm]
sphere, 구/영역, [sfɪr]
spill, 쏟다, [spɪl]
spit, 뱉다, [spɪt]
spite, 악의/원한, [spaɪt]
splash, 철썩 소리/튀다, [splæʃ]
split, 나누다/갈라지다, [splɪt]
spouse, 배우자, [spaʊs]
stack, 쌓다/무더기, [stæk]
starve, 굶주리다/기아로 죽다, [stɑːrv]
statistic, 통계(학), [stəˈtɪstɪk]
steep, 가파른/(가격 등이)비싼, [stiːp]
stiff, 뻣뻣한/굳은, [stɪf]
stimulate, 자극하다, [ˈstɪmjəˌleɪt]
stir, 휘젓다/휴지하다, [stɜːr]
stitch, 꿰매다, [stɪtʃ]
strain, 긴장시키다/고생, [streɪn]
strip, 벗기다, [strɪp]
stroke, 쓰다듬다/발작, [stroʊk]
subjective, 주관적인, [səbˈdʒɛktɪv]
submit, 제출하다/복종하다, [səbˈmɪt]
subscribe, 가입하다/동의하다, [səbˈskraɪb]
substance, 물질/본질, [ˈsʌbstəns]
substantial, 튼튼한/상당한, [səbˈstænʃəl]
substitute, 대체하다/대리품, [ˈsʌbstəˌtjut]
subtle, 세련된/미묘한, [ˈsʌtl]
suck, 빨다, [sʌk]
suite, 스위트(호텔의 고급 방), [swiːt]
supervise, 감독하다, [ˈsuːpərvaɪz]
supplement, 보충하다/보충물, [ˈsʌpləmənt]
surrender, 항복하다, [səˈrɛndər]
suspend, 매달다/중단하다, [səˈspɛnd]
sustain, 지탱하다/지속하다, [səˈsteɪn]
swear, 맹세하다/욕설을 하다, [swɛər]
sweep, 쓸다/쓸리다, [swiːp]
swell, 부풀다/차다, [swɛl]
swift, 빠른, [swɪft]
tease, 놀리다/괴롭히다, [tiːz]
telegraph, 전신/전보장치, [ˈtɛlɪˌɡræf]
temporary, 일시적인, [ˈtɛmpəˌrɛri]
tempt, 유혹하다, [tɛmpt]
tenant, 입주자/세입자, [ˈtɛnənt]
terminate, 종료하다, [ˈtɜːrmɪˌneɪt]
terrace, 테라스, [ˈtɛrɪs]
testify, 증언하다, [ˈtɛstɪˌfaɪ]
therapy, 치료, [ˈθɛrəpi]
thread, 실/끈, [θrɛd]
tick, 틱(소리)/시간이 지나다, [tɪk]
timber, 목재, [ˈtɪmbər]
torture, 고문/고문하다, [ˈtɔːrtʃər]
trail, 자취/따라가다, [treɪl]
transact, 처리하다, [trænˈzækt]
transition, 전환, [trænˈzɪʃən]
transmit, 전송하다, [trænzˈmɪt]
treaty, 조약, [ˈtriːti]
tremendous, 엄청난/거대한, [trɪˈmɛndəs]
trigger, 발동시키다, [ˈtrɪɡər]
trim, 다듬다/꾸미다, [trɪm]
turnover, 매출액, [ˈtɜːrnˌoʊvər]
undergo, 겪다, [ˌʌndərˈɡoʊ]
underlie, 기초가 되다, [ˌʌndərˈlaɪ]
undermine, 약화시키다, [ˌʌndərˈmaɪn]
undertake, 맡다/착수하다, [ˌʌndərˈteɪk]
utilize, 활용하다, [ˈjuːtəˌlaɪz]
utter, 발음하다/완전한, [ˈʌtər]
vague, 모호한, [veɪɡ]
valid, 유효한/타당한, [ˈvælɪd]
vanish, 사라지다, [ˈvænɪʃ]
verbal, 말에 관한, [ˈvɜːrbəl]
verse, 시, [vɜːrs]
vertical, 수직의, [ˈvɜːrtɪkəl]
vessel, 선박/용기, [ˈvɛsl]
veteran, 베테랑, [ˈvɛtərən]
veterinarian, 수의사, [ˌvɛtərɪˈnɛriən]
vice, 악행/부채꼴, [vaɪs]
vigorous, 활기찬/힘찬, [ˈvɪɡərəs]
virgin, 처녀, [ˈvɜːrdʒɪn]
virtual, 가상의, [ˈvɜːrtʃuəl]
virtue, 덕/미덕, [ˈvɜːrtʃuː]
vital, 중요한, [ˈvaɪtl̟]
vivid, 생생한/확실한, [ˈvɪvɪd]
vocation, 직업/천직, [voʊˈkeɪʒən]
wagon, 마차, [ˈwæɡən]
wander, 배회하다/방황하다, [ˈwɑːndər]
warehouse, 창고, [ˈwɛərhaʊs]
warrant, 보증하다/영장, [ˈwɒrənt]
warrior, 전사, [ˈwɒriər]
weave, 짜다, [wiːv]
weed, 잡초, [wiːd]
whereas, ~인 반면에, [wɛrˈæz]
whip, 채찍/때리다, [wɪp]
wicked, 사악한, [ˈwɪkɪd]
widow, 과부, [ˈwɪdoʊ]
withdraw, 철수하다, [wɪðˈdrɔː]
wreck, 난파시키다/잔해, [rɛk]
yield, 생산하다/항복하다, [jiːld]
